word,surface_form,sentence,sentence_domain,ambiguity_score,semantic_similarity_spread,contextual_confidence_gap,domain_diversity,is_ambiguous,ambiguity_type,top_sense_1_domain,top_sense_1_gloss,top_sense_2_domain,top_sense_2_gloss,explanation
provide,provide,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.721,0.84,0.5,0.5,False,None,General,take measures in preparation for,,,"The word ""provide"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] take measures in preparation for (context similarity=0.07)
  Candidate sense 2: [General] make a possibility or provide opportunity for; permit to be attainable or cause to remain (context similarity=0.05)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
generate,generate,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.377,0.473,0.2,0.5,False,None,Software/IT,produce (energy),,,"The word ""generate"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] produce (energy) (context similarity=0.15)
  Candidate sense 2: [Finance/Business] give or supply (context similarity=0.05)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Finance/Business"")."
output,output,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.469,0.561,0.3,0.0,False,None,General,signal that comes out of an electronic system,,,"The word ""output"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] signal that comes out of an electronic system (context similarity=0.17)
  Candidate sense 2: [General] what is produced in a given time period (context similarity=0.07)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
date,date,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.845,0.977,0.6,0.0,True,Intra-Domain,Software/IT,a participant in a date,Software/IT,a particular but unspecified point in time,"The word ""date"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a participant in a date (context similarity=0.23)
  Candidate sense 2: [Software/IT] a particular but unspecified point in time (context similarity=0.22)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
date,date,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.845,0.977,0.6,0.0,True,Intra-Domain,Software/IT,a participant in a date,Software/IT,a particular but unspecified point in time,"The word ""date"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a participant in a date (context similarity=0.23)
  Candidate sense 2: [Software/IT] a particular but unspecified point in time (context similarity=0.22)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
range,range,The system shall provide the ability to generate hardcopy and electronic output by date possibly and possibly date range,Software/IT,0.888,0.989,0.7,0.0,True,Intra-Domain,Software/IT,the limits within which something can be effective,Software/IT,a variety of different things or activities,"The word ""range"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] the limits within which something can be effective (context similarity=0.10)
  Candidate sense 2: [Software/IT] a variety of different things or activities (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
system,system,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset,Legal/Regulatory,0.57,0.5,0.7,0.5,False,None,General,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,,,"The word ""system"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [General] instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity (context similarity=0.00)
  Candidate sense 2: [Software/IT] a group of independent but interrelated elements comprising a unified whole (context similarity=0.00)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
provide,provide,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset,Legal/Regulatory,0.721,0.84,0.5,0.5,False,None,General,take measures in preparation for,,,"The word ""provide"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [General] take measures in preparation for (context similarity=0.07)
  Candidate sense 2: [General] make a possibility or provide opportunity for; permit to be attainable or cause to remain (context similarity=0.05)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
export,export,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset,Legal/Regulatory,0.605,0.877,0.1,0.5,False,None,Software/IT,transfer (electronic data) out of a database or document in a format that can be used by other programs,,,"The word ""export"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Software/IT] transfer (electronic data) out of a database or document in a format that can be used by other programs (context similarity=0.15)
  Candidate sense 2: [Finance/Business] sell or transfer abroad (context similarity=0.12)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Finance/Business"")."
remove,removes,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset,Legal/Regulatory,0.535,0.5,0.6,0.0,False,None,Software/IT,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",,,"The word ""remove"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Software/IT] remove something concrete, as by lifting, pushing, or taking off, or remove something abstract (context similarity=0.00)
  Candidate sense 2: [Software/IT] remove from a position or an office (context similarity=0.00)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
identifier,identifiers,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset,Legal/Regulatory,0.325,0.5,0.0,0.0,False,None,Healthcare,a symbol that establishes the identity of the one bearing it,,,"The word ""identifier"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Healthcare] a symbol that establishes the identity of the one bearing it (context similarity=0.00)
Not flagged as ambiguous in this context."
list,listed,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset,Legal/Regulatory,0.713,0.935,0.3,0.0,False,None,Healthcare,include in a list,,,"The word ""list"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Healthcare] include in a list (context similarity=0.07)
  Candidate sense 2: [Healthcare] cause to lean to the side (context similarity=0.06)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Healthcare"" domain but represent distinct concepts."
