word,surface_form,sentence,sentence_domain,ambiguity_score,semantic_similarity_spread,contextual_confidence_gap,domain_diversity,is_ambiguous,ambiguity_type,top_sense_1_domain,top_sense_1_gloss,top_sense_2_domain,top_sense_2_gloss,explanation
period,period,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.74,0.869,0.5,0.5,False,None,Software/IT,an amount of time,,,"The word ""period"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] an amount of time (context similarity=0.40)
  Candidate sense 2: [Software/IT] the end or completion of something (context similarity=0.31)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
period,period,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.74,0.869,0.5,0.5,False,None,Software/IT,an amount of time,,,"The word ""period"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] an amount of time (context similarity=0.40)
  Candidate sense 2: [Software/IT] the end or completion of something (context similarity=0.31)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
time,time,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.887,0.933,0.8,0.0,True,Intra-Domain,Software/IT,the period of time a prisoner is imprisoned,Software/IT,an indefinite period (usually marked by specific attributes or activities),"The word ""time"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] the period of time a prisoner is imprisoned (context similarity=0.19)
  Candidate sense 2: [Software/IT] an indefinite period (usually marked by specific attributes or activities) (context similarity=0.16)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
exceed,exceed,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.652,0.95,0.1,0.5,False,None,Legal/Regulatory,be greater in scope or size than some standard,,,"The word ""exceed"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Legal/Regulatory] be greater in scope or size than some standard (context similarity=0.07)
  Candidate sense 2: [Legal/Regulatory] be superior or better than some standard (context similarity=0.06)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Legal/Regulatory"" domain but represent distinct concepts."
day,days,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.822,0.834,0.8,0.0,True,Intra-Domain,Software/IT,some point or period in time,Software/IT,a period of opportunity,"The word ""day"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] some point or period in time (context similarity=0.42)
  Candidate sense 2: [Software/IT] a period of opportunity (context similarity=0.30)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
party,party,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.712,0.934,0.3,0.5,False,None,General,an occasion on which people can assemble for social interaction and entertainment,,,"The word ""party"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] an occasion on which people can assemble for social interaction and entertainment (context similarity=0.13)
  Candidate sense 2: [Software/IT] a person involved in legal proceedings (context similarity=0.11)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
file,files,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.395,0.5,0.2,0.0,False,None,Software/IT,a set of related records (either written or electronic) kept together,,,"The word ""file"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a set of related records (either written or electronic) kept together (context similarity=0.00)
  Candidate sense 2: [Software/IT] a line of persons or things ranged one behind the other (context similarity=0.00)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
board,Board,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.843,0.92,0.7,0.5,True,Inter-Domain,Software/IT,a flat portable surface (usually rectangular) designed for board games,General,a vertical surface on which information can be displayed to public view,"The word ""board"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a flat portable surface (usually rectangular) designed for board games (context similarity=0.21)
  Candidate sense 2: [General] a vertical surface on which information can be displayed to public view (context similarity=0.18)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
extension,extension,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.82,0.723,1.0,0.5,True,Intra-Domain,Software/IT,a string of characters beginning with a period and followed by one or more letters; the optional second part of a PC computer filename,Software/IT,the ability to raise the working leg high in the air,"The word ""extension"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a string of characters beginning with a period and followed by one or more letters; the optional second part of a PC computer filename (context similarity=0.20)
  Candidate sense 2: [Software/IT] the ability to raise the working leg high in the air (context similarity=0.11)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
day,day,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.822,0.834,0.8,0.0,True,Intra-Domain,Software/IT,some point or period in time,Software/IT,a period of opportunity,"The word ""day"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] some point or period in time (context similarity=0.42)
  Candidate sense 2: [Software/IT] a period of opportunity (context similarity=0.30)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
period,period,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.74,0.869,0.5,0.5,False,None,Software/IT,an amount of time,,,"The word ""period"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] an amount of time (context similarity=0.40)
  Candidate sense 2: [Software/IT] the end or completion of something (context similarity=0.31)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
show,shows,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.84,0.754,1.0,0.0,True,Intra-Domain,Software/IT,be or become visible or noticeable,Software/IT,"give evidence of, as of records","The word ""show"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] be or become visible or noticeable (context similarity=0.09)
  Candidate sense 2: [Software/IT] give evidence of, as of records (context similarity=0.06)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
cause,cause,The Board may extend the initial 30 day period for a period of time not to exceed 30 days if a party files with the Board a request for an extension within the initial 30 day period and shows good cause.,Software/IT,0.598,0.758,0.3,0.5,False,None,General,a justification for something existing or happening,,,"The word ""cause"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] a justification for something existing or happening (context similarity=0.06)
  Candidate sense 2: [General] events that provide the generative force that is the origin of something (context similarity=0.04)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
compliance,Compliance,Â§ 160.308 Compliance reviews.,Legal/Regulatory,0.573,0.828,0.1,0.5,False,None,Legal/Regulatory,the act of submitting; usually surrendering power to another,,,"The word ""compliance"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Legal/Regulatory] the act of submitting; usually surrendering power to another (context similarity=0.23)
  Candidate sense 2: [Legal/Regulatory] a disposition or tendency to yield to the will of others (context similarity=0.17)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Legal/Regulatory"" domain but represent distinct concepts."
review,reviews,Â§ 160.308 Compliance reviews.,Legal/Regulatory,0.605,0.5,0.8,0.5,False,None,Software/IT,a new appraisal or evaluation,,,"The word ""review"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Software/IT] a new appraisal or evaluation (context similarity=0.00)
  Candidate sense 2: [Software/IT] an essay or article that gives a critical evaluation (as of a book or play) (context similarity=0.00)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
solution,solution,The solution should capture  display and report a history of all problems associated with a patient.,Healthcare,0.746,0.986,0.3,0.5,False,None,Software/IT,a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution,,,"The word ""solution"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution (context similarity=0.13)
  Candidate sense 2: [General] the successful action of solving a problem (context similarity=0.13)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
capture,capture,The solution should capture  display and report a history of all problems associated with a patient.,Healthcare,0.673,0.82,0.4,0.0,False,None,Software/IT,succeed in representing or expressing something intangible,,,"The word ""capture"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] succeed in representing or expressing something intangible (context similarity=0.26)
  Candidate sense 2: [Software/IT] capture as if by hunting, snaring, or trapping (context similarity=0.18)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
display,display,The solution should capture  display and report a history of all problems associated with a patient.,Healthcare,0.78,0.984,0.4,0.0,True,Intra-Domain,Software/IT,behavior that makes your feelings public,Software/IT,exhibiting openly in public view,"The word ""display"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] behavior that makes your feelings public (context similarity=0.19)
  Candidate sense 2: [Software/IT] exhibiting openly in public view (context similarity=0.18)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
report,report,The solution should capture  display and report a history of all problems associated with a patient.,Healthcare,0.583,0.682,0.4,0.0,False,None,General,announce one's presence,,,"The word ""report"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [General] announce one's presence (context similarity=0.18)
  Candidate sense 2: [General] make known to the authorities (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
history,history,The solution should capture  display and report a history of all problems associated with a patient.,Healthcare,0.729,0.961,0.3,0.0,False,None,Healthcare,all that is remembered of the past as preserved in writing; a body of knowledge,,,"The word ""history"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Healthcare] all that is remembered of the past as preserved in writing; a body of knowledge (context similarity=0.23)
  Candidate sense 2: [Healthcare] the aggregate of past events (context similarity=0.21)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Healthcare"" domain but represent distinct concepts."
problem,problems,The solution should capture  display and report a history of all problems associated with a patient.,Healthcare,0.596,0.862,0.1,0.5,False,None,Healthcare,a question raised for consideration or solution,,,"The word ""problem"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Healthcare] a question raised for consideration or solution (context similarity=0.18)
  Candidate sense 2: [Networking] a state of difficulty that needs to be resolved (context similarity=0.13)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Networking"")."
associate,associated,The solution should capture  display and report a history of all problems associated with a patient.,Healthcare,0.36,0.5,0.1,1.0,False,None,Networking,make a logical or causal connection,,,"The word ""associate"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Networking] make a logical or causal connection (context similarity=0.04)
  Candidate sense 2: [Software/IT] keep company with; hang out with (context similarity=0.00)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Networking"" vs. ""Software/IT"")."
solution,solution,The solution should conform to function IN.2.2 (Auditable Records).,Software/IT,0.746,0.986,0.3,0.5,False,None,Software/IT,a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution,,,"The word ""solution"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution (context similarity=0.16)
  Candidate sense 2: [General] the successful action of solving a problem (context similarity=0.15)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
function,function,The solution should conform to function IN.2.2 (Auditable Records).,Software/IT,0.471,0.67,0.1,0.0,False,None,Software/IT,perform duties attached to a particular office or place or function,,,"The word ""function"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] perform duties attached to a particular office or place or function (context similarity=0.19)
  Candidate sense 2: [Software/IT] serve a purpose, role, or function (context similarity=0.09)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
records,Records,The solution should conform to function IN.2.2 (Auditable Records).,Software/IT,0.21,0.0,0.6,0.5,False,None,Healthcare,an extreme attainment; the best (or worst) performance ever attested (as in a sport),,,"The word ""records"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] an extreme attainment; the best (or worst) performance ever attested (as in a sport) (context similarity=0.08)
  Candidate sense 2: [General] anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events (context similarity=0.00)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""General"")."
enter,Enter,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.793,0.844,0.7,0.5,True,Inter-Domain,Healthcare,become a participant; be involved in,Software/IT,come on stage,"The word ""enter"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Healthcare] become a participant; be involved in (context similarity=0.26)
  Candidate sense 2: [Software/IT] come on stage (context similarity=0.19)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
information,information,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.523,0.644,0.3,0.0,False,None,General,(communication theory) a numerical measure of the uncertainty of an outcome,,,"The word ""information"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [General] (communication theory) a numerical measure of the uncertainty of an outcome (context similarity=0.13)
  Candidate sense 2: [General] a message received and understood (context similarity=0.06)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
click,click,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.724,0.845,0.5,0.0,False,None,Software/IT,produce a click,,,"The word ""click"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] produce a click (context similarity=0.26)
  Candidate sense 2: [Software/IT] click repeatedly or uncontrollably (context similarity=0.19)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
form,Form,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.874,0.806,1.0,0.5,True,Inter-Domain,General,a printed document with spaces in which to write,Software/IT,an ability to perform well,"The word ""form"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [General] a printed document with spaces in which to write (context similarity=0.17)
  Candidate sense 2: [Software/IT] an ability to perform well (context similarity=0.11)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
return,return,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.95,0.923,1.0,0.5,True,Intra-Domain,Software/IT,return in kind,Software/IT,make a return,"The word ""return"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] return in kind (context similarity=0.25)
  Candidate sense 2: [Software/IT] make a return (context similarity=0.22)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
encounter,Encounter,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.62,0.846,0.2,0.0,False,None,Healthcare,a casual or unexpected convergence,,,"The word ""encounter"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Healthcare] a casual or unexpected convergence (context similarity=0.16)
  Candidate sense 2: [Healthcare] a casual meeting with a person or thing (context similarity=0.11)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Healthcare"" domain but represent distinct concepts."
summary,summary,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.589,0.852,0.1,0.5,False,None,Software/IT,performed speedily and without formality,,,"The word ""summary"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] performed speedily and without formality (context similarity=0.26)
  Candidate sense 2: [Finance/Business] a brief statement that presents the main points in a concise form (context similarity=0.19)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Finance/Business"")."
page,page,Enter the appropriate information and click 'Save Form' to return to the Encounter summary page.,Healthcare,0.751,0.941,0.4,0.0,True,Intra-Domain,Software/IT,United States diplomat and writer about the Old South (1853-1922),Software/IT,English industrialist who pioneered in the design and manufacture of aircraft (1885-1962),"The word ""page"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] United States diplomat and writer about the Old South (1853-1922) (context similarity=0.17)
  Candidate sense 2: [Software/IT] English industrialist who pioneered in the design and manufacture of aircraft (1885-1962) (context similarity=0.15)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
maintain,Maintain,(c) Maintain a training program that includes documented procedures and training requirements to ensure its personnel are competent to certify HIT;,Software/IT,0.802,0.803,0.8,0.5,True,Inter-Domain,Healthcare,maintain by writing regular records,Software/IT,maintain for use and service,"The word ""maintain"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] maintain by writing regular records (context similarity=0.15)
  Candidate sense 2: [Software/IT] maintain for use and service (context similarity=0.10)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
program,program,(c) Maintain a training program that includes documented procedures and training requirements to ensure its personnel are competent to certify HIT;,Software/IT,0.855,0.992,0.6,0.0,True,Intra-Domain,Software/IT,(computer science) a sequence of instructions that a computer can interpret and execute,Software/IT,a system of projects or services intended to meet a public need,"The word ""program"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] (computer science) a sequence of instructions that a computer can interpret and execute (context similarity=0.10)
  Candidate sense 2: [Software/IT] a system of projects or services intended to meet a public need (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
include,includes,(c) Maintain a training program that includes documented procedures and training requirements to ensure its personnel are competent to certify HIT;,Software/IT,0.07,0.0,0.2,0.5,False,None,Healthcare,"have as a part, be made up out of",,,"The word ""include"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] have as a part, be made up out of (context similarity=0.10)
  Candidate sense 2: [Healthcare] consider as part of something (context similarity=0.00)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Healthcare"" domain but represent distinct concepts."
procedure,procedures,(c) Maintain a training program that includes documented procedures and training requirements to ensure its personnel are competent to certify HIT;,Software/IT,0.07,0.0,0.2,0.0,False,None,General,"a set sequence of steps, part of larger computer program",,,"The word ""procedure"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] a set sequence of steps, part of larger computer program (context similarity=0.08)
  Candidate sense 2: [General] a particular course of action intended to achieve a result (context similarity=0.00)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""General"" domain but represent distinct concepts."
requirement,requirements,(c) Maintain a training program that includes documented procedures and training requirements to ensure its personnel are competent to certify HIT;,Software/IT,0.608,0.882,0.1,0.5,False,None,General,required activity,,,"The word ""requirement"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] required activity (context similarity=0.05)
  Candidate sense 2: [Legal/Regulatory] anything indispensable (context similarity=0.04)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Legal/Regulatory"")."
certify,certify,(c) Maintain a training program that includes documented procedures and training requirements to ensure its personnel are competent to certify HIT;,Software/IT,0.755,0.999,0.3,1.0,True,Inter-Domain,Software/IT,declare legally insane,Finance/Business,guarantee payment on; of checks,"The word ""certify"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] declare legally insane (context similarity=0.11)
  Candidate sense 2: [Finance/Business] guarantee payment on; of checks (context similarity=0.11)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Finance/Business"")."
