word,surface_form,sentence,sentence_domain,ambiguity_score,semantic_similarity_spread,contextual_confidence_gap,domain_diversity,is_ambiguous,ambiguity_type,top_sense_1_domain,top_sense_1_gloss,top_sense_2_domain,top_sense_2_gloss,explanation
order,order,(c) The ALJ must issue an order containing the matters agreed upon by the parties or ordered by the ALJ at a prehearing conference.,Software/IT,0.996,0.993,1.0,1.0,True,Inter-Domain,Healthcare,a condition of regular or proper arrangement,Software/IT,a degree in a continuum of size or quantity,"The word ""order"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] a condition of regular or proper arrangement (context similarity=0.10)
  Candidate sense 2: [Software/IT] a degree in a continuum of size or quantity (context similarity=0.10)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
order,order,The system has the capability to view progress notes in chronological or reverse chronological order by encounter date in relation to the active care plan.,Healthcare,0.996,0.993,1.0,1.0,True,Inter-Domain,Healthcare,a condition of regular or proper arrangement,Software/IT,a degree in a continuum of size or quantity,"The word ""order"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Healthcare] a condition of regular or proper arrangement (context similarity=0.10)
  Candidate sense 2: [Software/IT] a degree in a continuum of size or quantity (context similarity=0.10)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
order,order,The solution should automatically display side effects during the order entry process.,Software/IT,0.996,0.993,1.0,1.0,True,Inter-Domain,Healthcare,a condition of regular or proper arrangement,Software/IT,a degree in a continuum of size or quantity,"The word ""order"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] a condition of regular or proper arrangement (context similarity=0.17)
  Candidate sense 2: [Software/IT] a degree in a continuum of size or quantity (context similarity=0.17)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
order,order,The system has the capability to create  fill-in & e-fax customized order forms.,Software/IT,0.996,0.993,1.0,1.0,True,Inter-Domain,Healthcare,a condition of regular or proper arrangement,Software/IT,a degree in a continuum of size or quantity,"The word ""order"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] a condition of regular or proper arrangement (context similarity=0.16)
  Candidate sense 2: [Software/IT] a degree in a continuum of size or quantity (context similarity=0.16)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
order,order,The solution should present the order set templates to the provider.,Healthcare,0.996,0.993,1.0,1.0,True,Inter-Domain,Healthcare,a condition of regular or proper arrangement,Software/IT,a degree in a continuum of size or quantity,"The word ""order"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Healthcare] a condition of regular or proper arrangement (context similarity=0.19)
  Candidate sense 2: [Software/IT] a degree in a continuum of size or quantity (context similarity=0.18)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
order,order,The system has the capability to automatically stop possibly and possibly hold order.,Software/IT,0.996,0.993,1.0,1.0,True,Inter-Domain,Healthcare,a condition of regular or proper arrangement,Software/IT,a degree in a continuum of size or quantity,"The word ""order"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] a condition of regular or proper arrangement (context similarity=0.13)
  Candidate sense 2: [Software/IT] a degree in a continuum of size or quantity (context similarity=0.13)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
hold,held,Configuration credentials and authentication tokens are not held in plain text in configuration files.,Software/IT,0.995,0.992,1.0,1.0,True,Inter-Domain,Healthcare,"remain in a certain state, position, or condition",General,"to close within bounds, limit or hold back from movement","The word ""hold"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Healthcare] remain in a certain state, position, or condition (context similarity=0.09)
  Candidate sense 2: [General] to close within bounds, limit or hold back from movement (context similarity=0.09)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""General"")."
hold,held,The solution should provide the ability to manually modify and update task status (e.g. created  performed  held  canceled  pended  denied  and resolved).,General,0.995,0.992,1.0,1.0,True,Inter-Domain,Healthcare,"remain in a certain state, position, or condition",General,"to close within bounds, limit or hold back from movement","The word ""hold"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [Healthcare] remain in a certain state, position, or condition (context similarity=0.09)
  Candidate sense 2: [General] to close within bounds, limit or hold back from movement (context similarity=0.09)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""General"")."
stock,stock,The system has the capability to return to stock processing.,Software/IT,0.994,0.99,1.0,0.5,True,Inter-Domain,General,the handle end of some implements or tools,Software/IT,the reputation and popularity a person has,"The word ""stock"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] the handle end of some implements or tools (context similarity=0.21)
  Candidate sense 2: [Software/IT] the reputation and popularity a person has (context similarity=0.21)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
lead,leads,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,Finance/Business,0.993,0.989,1.0,0.5,True,Inter-Domain,Healthcare,tend to or result in,Software/IT,take somebody somewhere,"The word ""lead"" appears in a sentence whose detected domain is ""Finance/Business"".
  Candidate sense 1: [Healthcare] tend to or result in (context similarity=0.12)
  Candidate sense 2: [Software/IT] take somebody somewhere (context similarity=0.12)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
follow,follow,The solution should maintain inmate specific interactions for the pharmacy and will automatically generate reports for follow up on day scheduled for intervention follow up.,Software/IT,0.991,0.986,1.0,0.0,True,Intra-Domain,Software/IT,behave in accordance or in agreement with,Software/IT,grasp the meaning,"The word ""follow"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] behave in accordance or in agreement with (context similarity=0.28)
  Candidate sense 2: [Software/IT] grasp the meaning (context similarity=0.27)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
follow,follow,The solution should maintain inmate specific interactions for the pharmacy and will automatically generate reports for follow up on day scheduled for intervention follow up.,Software/IT,0.991,0.986,1.0,0.0,True,Intra-Domain,Software/IT,behave in accordance or in agreement with,Software/IT,grasp the meaning,"The word ""follow"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] behave in accordance or in agreement with (context similarity=0.28)
  Candidate sense 2: [Software/IT] grasp the meaning (context similarity=0.27)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
shot,shot,For each shot  the product shall notify the players whether the shot was a hit or miss.,Software/IT,0.99,0.985,1.0,0.0,True,Intra-Domain,Software/IT,sports equipment consisting of a heavy metal ball used in the shot put,Software/IT,a blow hard enough to cause injury,"The word ""shot"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] sports equipment consisting of a heavy metal ball used in the shot put (context similarity=0.37)
  Candidate sense 2: [Software/IT] a blow hard enough to cause injury (context similarity=0.36)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
shot,shot,For each shot  the product shall notify the players whether the shot was a hit or miss.,Software/IT,0.99,0.985,1.0,0.0,True,Intra-Domain,Software/IT,sports equipment consisting of a heavy metal ball used in the shot put,Software/IT,a blow hard enough to cause injury,"The word ""shot"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] sports equipment consisting of a heavy metal ball used in the shot put (context similarity=0.37)
  Candidate sense 2: [Software/IT] a blow hard enough to cause injury (context similarity=0.36)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
release,release,Such access should also be subject to appropriate release of information protocols  local audit policies  minimum necessary criteria  and other contractual arrangements and  laws  and:,Legal/Regulatory,0.99,0.984,1.0,0.5,True,Inter-Domain,Software/IT,a device that when pressed will release part of a mechanism,General,a process that liberates or discharges something,"The word ""release"" appears in a sentence whose detected domain is ""Legal/Regulatory"".
  Candidate sense 1: [Software/IT] a device that when pressed will release part of a mechanism (context similarity=0.14)
  Candidate sense 2: [General] a process that liberates or discharges something (context similarity=0.14)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
receive,received,Checks received from insurance companies can be entered here and distributed to cover the appropriate encounters.,Finance/Business,0.99,0.984,1.0,0.0,True,Intra-Domain,Software/IT,regard favorably or with disapproval,Software/IT,accept as true or valid,"The word ""receive"" appears in a sentence whose detected domain is ""Finance/Business"".
  Candidate sense 1: [Software/IT] regard favorably or with disapproval (context similarity=0.08)
  Candidate sense 2: [Software/IT] accept as true or valid (context similarity=0.08)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
receive,received,In the list of in transit lab procedures   the Lab Technician can update the status to received when the sample has been received in his or her lab.,Healthcare,0.99,0.984,1.0,0.0,True,Intra-Domain,Software/IT,regard favorably or with disapproval,Software/IT,accept as true or valid,"The word ""receive"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] regard favorably or with disapproval (context similarity=0.11)
  Candidate sense 2: [Software/IT] accept as true or valid (context similarity=0.11)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
receive,received,The request for a hearing must be mailed within 90 days after notice of the proposed determination is received by the respondent.,Software/IT,0.99,0.984,1.0,0.0,True,Intra-Domain,Software/IT,regard favorably or with disapproval,Software/IT,accept as true or valid,"The word ""receive"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] regard favorably or with disapproval (context similarity=0.08)
  Candidate sense 2: [Software/IT] accept as true or valid (context similarity=0.08)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
give,given,An HCP can create a lab procedure for a given office visit.,Healthcare,0.99,0.985,1.0,0.5,True,Intra-Domain,Software/IT,manifest or show,Software/IT,contribute to some cause,"The word ""give"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] manifest or show (context similarity=0.08)
  Candidate sense 2: [Software/IT] contribute to some cause (context similarity=0.08)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
release,Release,(5) HL7 Version 3 Standard: Context-Aware Retrieval Application (Infobutton); Release 1  July 2010  IBR approved for Â§ 170.204.,Software/IT,0.99,0.984,1.0,1.0,True,Inter-Domain,Software/IT,a device that when pressed will release part of a mechanism,General,a process that liberates or discharges something,"The word ""release"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a device that when pressed will release part of a mechanism (context similarity=0.15)
  Candidate sense 2: [General] a process that liberates or discharges something (context similarity=0.15)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
receive,received,An HCP chooses to view received referrals.,Software/IT,0.99,0.984,1.0,0.0,True,Intra-Domain,Software/IT,regard favorably or with disapproval,Software/IT,accept as true or valid,"The word ""receive"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] regard favorably or with disapproval (context similarity=0.11)
  Candidate sense 2: [Software/IT] accept as true or valid (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
receive,received,(i) If the ONC-ACB submits a response  the National Coordinator is permitted up to 30 days from the time the response is received to evaluate the response and reach a decision.,Software/IT,0.99,0.984,1.0,0.0,True,Intra-Domain,Software/IT,regard favorably or with disapproval,Software/IT,accept as true or valid,"The word ""receive"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] regard favorably or with disapproval (context similarity=0.06)
  Candidate sense 2: [Software/IT] accept as true or valid (context similarity=0.05)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
receive,received,In the list of in transit lab procedures   the Lab Technician can update the status to received when the sample has been received in his or her lab.,Healthcare,0.99,0.984,1.0,0.0,True,Intra-Domain,Software/IT,regard favorably or with disapproval,Software/IT,accept as true or valid,"The word ""receive"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] regard favorably or with disapproval (context similarity=0.11)
  Candidate sense 2: [Software/IT] accept as true or valid (context similarity=0.11)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
release,Release,(4) RxNorm  August 6  2012 Full Release Update  IBR approved for Â§ 170.207.,Software/IT,0.99,0.984,1.0,1.0,True,Inter-Domain,Software/IT,a device that when pressed will release part of a mechanism,General,a process that liberates or discharges something,"The word ""release"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a device that when pressed will release part of a mechanism (context similarity=0.19)
  Candidate sense 2: [General] a process that liberates or discharges something (context similarity=0.19)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""General"")."
set,sets,(b) For the period on and after October 16  2003: (1) The code sets specified in paragraphs (a)(1)  (a)(2) (a)(4)  and (a)(5) of this section.,Software/IT,0.988,0.982,1.0,0.5,True,Inter-Domain,General,several exercises intended to be done in series,Software/IT,representation consisting of the scenery and other properties used to identify the location of a dramatic production,"The word ""set"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] several exercises intended to be done in series (context similarity=0.09)
  Candidate sense 2: [Software/IT] representation consisting of the scenery and other properties used to identify the location of a dramatic production (context similarity=0.09)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
take,took,(i)(A) The total Needy Individual patients assigned to the EPâs panel in any representative  continuous 90-day period in the preceding calendar year when at least one Needy Individual encounter took place with the Medicaid patient in the year prior to the 90-day period; plus,Healthcare,0.988,0.982,1.0,0.5,True,Intra-Domain,Software/IT,take by force,Software/IT,occupy or take on,"The word ""take"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] take by force (context similarity=0.07)
  Candidate sense 2: [Software/IT] occupy or take on (context similarity=0.07)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
set,sets,Â§ 162.1002 Medical data code sets.,Software/IT,0.988,0.982,1.0,0.5,True,Inter-Domain,General,several exercises intended to be done in series,Software/IT,representation consisting of the scenery and other properties used to identify the location of a dramatic production,"The word ""set"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] several exercises intended to be done in series (context similarity=0.13)
  Candidate sense 2: [Software/IT] representation consisting of the scenery and other properties used to identify the location of a dramatic production (context similarity=0.12)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
set,sets,Data content means all the data elements and code sets inherent to a transaction  and not related to the format of the transaction.,Finance/Business,0.988,0.982,1.0,0.5,True,Inter-Domain,General,several exercises intended to be done in series,Software/IT,representation consisting of the scenery and other properties used to identify the location of a dramatic production,"The word ""set"" appears in a sentence whose detected domain is ""Finance/Business"".
  Candidate sense 1: [General] several exercises intended to be done in series (context similarity=0.06)
  Candidate sense 2: [Software/IT] representation consisting of the scenery and other properties used to identify the location of a dramatic production (context similarity=0.06)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
service,service,(5) If service of a ruling or decision issued under this section is by mail  the date of service will be deemed to be 5 days from the date of mailing.,Software/IT,0.987,0.98,1.0,0.5,True,Inter-Domain,General,the act of delivering a writ or summons upon someone,Software/IT,the act of public worship following prescribed rules,"The word ""service"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] the act of delivering a writ or summons upon someone (context similarity=0.26)
  Candidate sense 2: [Software/IT] the act of public worship following prescribed rules (context similarity=0.25)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
service,service,(5) If service of a ruling or decision issued under this section is by mail  the date of service will be deemed to be 5 days from the date of mailing.,Software/IT,0.987,0.98,1.0,0.5,True,Inter-Domain,General,the act of delivering a writ or summons upon someone,Software/IT,the act of public worship following prescribed rules,"The word ""service"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [General] the act of delivering a writ or summons upon someone (context similarity=0.26)
  Candidate sense 2: [Software/IT] the act of public worship following prescribed rules (context similarity=0.25)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""General"" vs. ""Software/IT"")."
way,way,Finalizing is the act of publishing into the system in a way that others may access information that has changed.,General,0.986,0.978,1.0,0.5,True,Inter-Domain,Software/IT,a journey or passage,Healthcare,the condition of things generally,"The word ""way"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [Software/IT] a journey or passage (context similarity=0.21)
  Candidate sense 2: [Healthcare] the condition of things generally (context similarity=0.20)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Healthcare"")."
section,section,(2) A qualifying MA organization must provide CMS with the following for each MA EP or eligible hospital when reporting under either paragraph (b)(1) or (b)(3) of this section:,Healthcare,0.984,0.975,1.0,0.0,True,Intra-Domain,Software/IT,a division of an orchestra containing all instruments of the same class,Software/IT,a specialized division of a large organization,"The word ""section"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] a division of an orchestra containing all instruments of the same class (context similarity=0.11)
  Candidate sense 2: [Software/IT] a specialized division of a large organization (context similarity=0.10)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
section,section,Health maintenance organization (HMO) (as defined in section 2791(b)(3) of the PHS Act  42,Software/IT,0.984,0.975,1.0,0.0,True,Intra-Domain,Software/IT,a division of an orchestra containing all instruments of the same class,Software/IT,a specialized division of a large organization,"The word ""section"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] a division of an orchestra containing all instruments of the same class (context similarity=0.17)
  Candidate sense 2: [Software/IT] a specialized division of a large organization (context similarity=0.16)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
make,makes,Covered functions means those functions of a covered entity the performance of which makes the entity a health plan  health care provider  or health care clearinghouse.,Healthcare,0.983,0.973,1.0,0.5,True,Inter-Domain,Software/IT,favor the development of,Legal/Regulatory,amount to,"The word ""make"" appears in a sentence whose detected domain is ""Healthcare"".
  Candidate sense 1: [Software/IT] favor the development of (context similarity=0.06)
  Candidate sense 2: [Legal/Regulatory] amount to (context similarity=0.06)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Software/IT"" vs. ""Legal/Regulatory"")."
quarter,quarter,The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.,Software/IT,0.981,0.971,1.0,0.0,True,Intra-Domain,Software/IT,one of four periods into which the school year is divided,Software/IT,a unit of time equal to 15 minutes or a quarter of an hour,"The word ""quarter"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] one of four periods into which the school year is divided (context similarity=0.15)
  Candidate sense 2: [Software/IT] a unit of time equal to 15 minutes or a quarter of an hour (context similarity=0.14)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
rules,Rules,(b) Except as provided in this subpart  the ALJ is not bound by the Federal Rules of Evidence.,Software/IT,0.981,0.971,1.0,0.0,True,Intra-Domain,Legal/Regulatory,(mathematics) a standard procedure for solving a class of mathematical problems,Legal/Regulatory,directions that define the way a game or sport is to be conducted,"The word ""rules"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Legal/Regulatory] (mathematics) a standard procedure for solving a class of mathematical problems (context similarity=0.08)
  Candidate sense 2: [Legal/Regulatory] directions that define the way a game or sport is to be conducted (context similarity=0.08)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Legal/Regulatory"" domain but represent distinct concepts."
section,section,(iii) For the purposes of paragraph (e)(1)(ii)(A) of this section  a covered entity receives satisfactory assurances from a party seeking protecting health information if the covered entity receives from such party a written statement and accompanying documentation demonstrating that:,General,0.98,0.969,1.0,0.5,True,Inter-Domain,Healthcare,a self-contained part of a larger composition (written or musical),Software/IT,one of the portions into which something is regarded as divided and which together constitute a whole,"The word ""section"" appears in a sentence whose detected domain is ""General"".
  Candidate sense 1: [Healthcare] a self-contained part of a larger composition (written or musical) (context similarity=0.07)
  Candidate sense 2: [Software/IT] one of the portions into which something is regarded as divided and which together constitute a whole (context similarity=0.07)
Classified as INTER-DOMAIN ambiguity: the top two candidate senses belong to different application domains (""Healthcare"" vs. ""Software/IT"")."
point,point,The patient  UAP  or personal representative tries to enter more than one weight data point or more than one pedometer data point for the day and is told additional data cannot be entered.,Software/IT,0.979,0.968,1.0,0.0,True,Intra-Domain,Software/IT,an instant of time,Software/IT,a brief version of the essential meaning of something,"The word ""point"" appears in a sentence whose detected domain is ""Software/IT"".
  Candidate sense 1: [Software/IT] an instant of time (context similarity=0.21)
  Candidate sense 2: [Software/IT] a brief version of the essential meaning of something (context similarity=0.20)
Classified as INTRA-DOMAIN ambiguity: the top two candidate senses both belong to the ""Software/IT"" domain but represent distinct concepts."
